Vráž | 267 11 
Všeradice | 267 26 
Vysoký Újezd | 267 16 
Zadní Třebaň | 267 29 
Zaječov | 267 63 
Záluží | 267 61 
Zdice | 267 51 
Žebrák | 267 53 
Železná | 266 01
-
Běleč | 273 63 
Běloky | 273 53 
Beřovice | 273 71 
Bílichov | 273 74 
Blevice | 273 28 
Brandýsek | 273 41 
Braškov | 273 51 
Bratronice | 273 63 
Buštěhrad | 273 43 
Cvrčovice | 273 41 
Černuc | 273 23 
Doksy | 273 64 
Dolany | 273 51 
Drnek | 273 77 
Družec | 273 62 
Dřetovice | 273 42 
Dřínov | 273 71 
Hobšovice | 273 21 
Horní Bezděkov | 273 51 
Hořešovice | 273 74 
Hořešovičky | 273 74 
Hospozín | 273 22 
Hostouň | 273 53 
Hradečno | 273 04 
Hrdlív | 273 06 
Hřebeč | 273 45 
Chržín | 273 24 
Jarpice | 273 72 
Jedomělice | 273 78 
Jemníky | 274 01 
Kačice | 273 04 
Kamenné Žehrovice | 273 01 
Kamenný Most | 273 26 
Kladno | 272 01 
Klobuky | 273 74 
Kmetiněves | 273 22 
Knovíz | 274 01 
Koleč | 273 29 
Královice | 274 01 
Kutrovice | 273 75 
Kvílice | 273 75 
Kyšice | 273 51 
Lány | 270 61 
Ledce | 273 05 
Lhota | 273 01 
Libochovičky | 273 42 
Libovice | 273 79 
Libušín | 273 06 
Lidice | 273 54 
Líský | 273 76 
Loucká | 273 24 
Makotřasy | 273 54 
Malé Kyšice | 273 51 
Malé Přítočno | 273 51 
Malíkovice | 273 77 
Neprobylice | 273 75 
Neuměřice | 273 26 
Otvovice | 273 27 
Páleč | 273 71 
Pavlov | 273 51 
Pchery | 273 08 
Pletený Újezd | 273 51 
Plchov | 273 75 
Podlešín | 273 25 
Poštovice | 273 72 
Pozdeň | 273 76 
Přelíc | 273 05 
Řisuty | 273 78 
Sazená | 273 24 
Slaný | 274 01 
Slatina | 273 26 
Smečno | 273 05 
Stehelčeves | 273 42 
Stochov | 273 03 
Stradonice | 273 71 
Studeněves | 273 79 
Svárov | 273 51 
Svinařov | 273 05 
Šlapanice | 273 72 
Třebichovice | 273 06 
Třebíz | 273 75 
Třebusice | 273 41 
Tuchlovice | 273 02 
Tuřany | 273 79 
Uhy | 273 24 
Unhošť | 273 51 
Velká Dobrá | 273 61 
Velké Přítočno | 273 51 
Velvary | 273 24 
Vinařice | 273 07 
Vraný | 273 73 
Vrbičany | 273 74 
Zájezd | 273 43 
Zákolany | 273 28 
Zichovec | 273 74 
Zlonice | 273 71 
Zvoleněves | 273 25 
Želenice | 273 41 
Žilina | 273 01 
Žižice | 274 01
-
Barchovice | 281 63 
